500,1000,5794.64,3101.28
550,50,5074.03,2667.22
550,100,5794.64,3101.28
550,150,5074.03,2667.22
550,200,4079.54,3131.46
550,250,4821.33,2658.18
550,300,5794.64,3101.28
550,350,4821.33,2658.18
550,400,5794.64,3101.28
550,450,5612.16,2667.22
550,500,4079.54,3131.46
550,550,5074.03,2667.22
550,600,5794.64,3101.28
550,650,5794.64,2667.22
550,700,5794.64,2667.22
550,750,5794.64,3101.28
550,800,5074.03,2400.52
550,850,5794.64,2667.22
550,900,5794.64,3101.28
550,950,4823.38,2667.22
550,1000,5794.64,3101.28
600,50,4092.87,2711.68
600,100,4821.33,2658.18
600,150,5794.64,3101.28
600,200,4079.54,3131.46
600,250,5794.64,3101.28
600,300,4821.33,2658.18
600,350,5794.64,2667.22
600,400,5794.64,3101.28
600,450,4821.33,2400.52
600,500,4821.33,2658.18
600,550,4062.49,3101.28
600,600,5794.64,3101.28
600,650,5794.64,2667.22
600,700,4821.33,2658.18
600,750,4821.33,2400.52
600,800,4062.49,3101.28
600,850,4821.33,2658.18
600,900,5074.03,2667.22
600,950,4821.33,2658.18
600,1000,4821.33,2658.18
650,50,5794.64,3101.28
650,100,4113.15,3101.28
650,150,5794.64,3101.28
650,200,5074.03,2667.22
650,250,5074.03,2400.52
650,300,5016.12,3101.28
650,350,4113.15,3101.28
650,400,5794.64,3101.28
650,450,5794.64,3101.28
650,500,4821.33,2658.18
650,550,5794.64,3101.28
650,600,5794.64,3101.28
650,650,5794.64,2667.22
650,700,5794.64,3101.28
650,750,5794.64,3101.28
650,800,4821.33,2658.18
650,850,5074.03,2667.22
650,900,5794.64,3101.28
650,950,5794.64,3101.28
650,1000,5794.64,3101.28
700,50,4823.38,2667.22
700,100,5794.64,3101.28
700,150,5794.64,2667.22
700,200,5794.64,3101.28
700,250,5794.64,3101.28
700,300,4113.15,3101.28
700,350,5006.05,3101.28
700,400,5016.12,3101.28
700,450,4821.33,2658.18
700,500,5074.03,2667.22
700,550,4823.38,2667.22
700,600,5794.64,3101.28
700,650,5794.64,2667.22
700,700,4315.71,3131.46
700,750,4821.33,2658.18
700,800,4823.38,2667.22
700,850,5794.64,3101.28
700,900,5794.64,2667.22
700,950,5794.64,3101.28
700,1000,5794.64,3101.28
750,50,5794.64,3101.28
750,100,4823.38,2667.22
